\2025-05-02 11:13:26,863 - root - WARNING - -----------------------NEW SESSION-----------------------
2025-05-02 11:13:26,864 - discord.client - INFO - logging in using static token
2025-05-02 11:13:28,023 - discord.gateway - INFO - Shard ID None has connected to Gateway (Session ID: d52572e12e1aa2e131c3966554a2296a).
2025-05-02 11:13:30,037 - root - INFO - Logged as Proker
2025-05-02 11:13:30,038 - root - INFO - -----LOADING EXTENSIONS-----
2025-05-02 11:13:30,040 - root - INFO - Loaded extension: cogs.commands.roblox
2025-05-02 11:13:30,042 - root - INFO - Loaded extension: cogs.commands.main_commands
2025-05-02 11:13:30,044 - root - INFO - Loaded extension: cogs.events.errors
2025-05-02 11:13:30,046 - root - INFO - Loaded extension: cogs.commands.moderation
2025-05-02 11:13:30,047 - root - INFO - Loaded extension: cogs.commands.fun
2025-05-02 11:13:30,047 - root - INFO - ----------------------------
2025-05-02 11:15:01,262 - root - WARNING - -----------------------NEW SESSION-----------------------
2025-05-02 11:15:01,265 - discord.client - INFO - logging in using static token
2025-05-02 11:15:02,233 - discord.gateway - INFO - Shard ID None has connected to Gateway (Session ID: e84d5902132c951191b0562107882e0f).
2025-05-02 11:15:04,260 - root - INFO - Logged as Proker
2025-05-02 11:15:04,261 - root - INFO - -----LOADING EXTENSIONS-----
2025-05-02 11:15:04,263 - root - INFO - Loaded extension: cogs.commands.roblox
2025-05-02 11:15:04,266 - root - INFO - Loaded extension: cogs.commands.main_commands
2025-05-02 11:15:04,267 - root - INFO - Loaded extension: cogs.events.errors
2025-05-02 11:15:04,269 - root - INFO - Loaded extension: cogs.commands.moderation
2025-05-02 11:15:04,271 - root - INFO - Loaded extension: cogs.commands.fun
2025-05-02 11:15:04,271 - root - INFO - ----------------------------
2025-05-02 11:15:59,094 - root - WARNING - -----------------------NEW SESSION-----------------------
2025-05-02 11:15:59,097 - discord.client - INFO - logging in using static token
2025-05-02 11:16:00,070 - discord.gateway - INFO - Shard ID None has connected to Gateway (Session ID: 1eb0fb1eaeb24b46b7658d6bce28da6a).
2025-05-02 11:16:02,084 - root - INFO - Logged as Proker
2025-05-02 11:16:02,086 - root - INFO - -----LOADING EXTENSIONS-----
2025-05-02 11:16:02,088 - root - INFO - Loaded extension: cogs.commands.roblox
2025-05-02 11:16:02,090 - root - INFO - Loaded extension: cogs.commands.main_commands
2025-05-02 11:16:02,091 - root - INFO - Loaded extension: cogs.events.errors
2025-05-02 11:16:02,093 - root - INFO - Loaded extension: cogs.commands.moderation
2025-05-02 11:16:02,094 - root - INFO - Loaded extension: cogs.commands.fun
2025-05-02 11:16:02,094 - root - INFO - ----------------------------
2025-05-02 11:16:39,531 - root - WARNING - -----------------------NEW SESSION-----------------------
2025-05-02 11:16:39,532 - discord.client - INFO - logging in using static token
2025-05-02 11:16:40,519 - discord.gateway - INFO - Shard ID None has connected to Gateway (Session ID: 30654daf8a31183fb8c110cf09b25e94).
2025-05-02 11:16:42,535 - root - INFO - Logged as Proker
2025-05-02 11:16:42,536 - root - INFO - -----LOADING EXTENSIONS-----
2025-05-02 11:16:42,538 - root - INFO - Loaded extension: cogs.commands.roblox
2025-05-02 11:16:42,540 - root - INFO - Loaded extension: cogs.commands.main_commands
2025-05-02 11:16:42,542 - root - INFO - Loaded extension: cogs.events.errors
2025-05-02 11:16:42,544 - root - INFO - Loaded extension: cogs.commands.moderation
2025-05-02 11:16:42,545 - root - INFO - Loaded extension: cogs.commands.fun
2025-05-02 11:16:42,545 - root - INFO - ----------------------------
2025-05-02 11:16:49,012 - cogs.commands.main_commands - INFO - [CLEAR] programmduck cleared 7 messages in 1260957515252760587
2025-05-02 11:19:53,018 - root - WARNING - -----------------------NEW SESSION-----------------------
2025-05-02 11:19:53,020 - discord.client - INFO - logging in using static token
2025-05-02 11:19:54,033 - discord.gateway - INFO - Shard ID None has connected to Gateway (Session ID: fa29fbd6fa9855d954b303ff797301a7).
2025-05-02 11:19:56,045 - root - INFO - Logged as Proker
2025-05-02 11:19:56,046 - root - INFO - -----LOADING EXTENSIONS-----
2025-05-02 11:19:56,049 - root - INFO - Loaded extension: cogs.commands.roblox
2025-05-02 11:19:56,051 - root - INFO - Loaded extension: cogs.commands.main_commands
2025-05-02 11:19:56,052 - root - INFO - Loaded extension: cogs.events.errors
2025-05-02 11:19:56,057 - root - INFO - Loaded extension: cogs.commands.moderation
